Amplitude,Beyond1Std,Con,MaxSlope,MedianAbsDev,MedianBRP,PairSlopeTrend,Rcs,Skew,SmallKurtosis,Std,StetsonK,Eta_e,Meanvariance,class
1.98733,0.15,0.0,17487.08658,0.44008,0.90667,-0.03333,0.10906,2.60246,29.89152,1.04503,0.62126,161.37095,73.82134,Be_lc
1.57881,0.40667,0.0,1556.45519,0.90442,0.19333,0.03333,0.09936,-0.0592,-1.24753,1.00624,0.87227,5.73431,-15.8792,CEPH
1.53611,0.46,0.0,2349.1955,0.79878,0.21333,-0.03333,0.0671,-0.41364,-1.17008,0.99897,0.87468,25.34658,-42.90322,CEPH
1.60335,0.44,0.0,8462.79503,0.75605,0.27667,0.16667,0.05524,-0.37646,-1.00691,1.00675,0.86283,85.03864,45.60487,CEPH
1.4895,0.46333,0.0,4623.08257,0.81414,0.20333,-0.1,0.06033,-0.35022,-1.19069,0.97068,0.87903,43.92633,-24.27927,CEPH
1.5792,0.42667,0.0,4151.80318,0.72352,0.28667,0.1,0.04778,-0.53546,-0.9315,0.99736,0.86565,35.85859,17.71754,CEPH
1.61213,0.42333,0.0,1588.45729,0.92595,0.22333,0.03333,0.07994,-0.26698,-1.21407,1.03891,0.87235,6.59013,-28.60545,CEPH
1.51053,0.49667,0.0,8827.90602,0.6738,0.23,-0.03333,0.06224,-0.55864,-1.01162,0.96385,0.86756,81.9587,11.59201,CEPH
1.53513,0.42333,0.0,3109.18549,0.85652,0.28333,0.16667,0.07352,-0.16133,-1.06434,0.98035,0.86564,59.65866,-16.78369,CEPH
1.51713,0.43333,0.0,4118.08386,0.87994,0.2,0.16667,0.05752,-0.19268,-1.28729,0.97969,0.8839,24.34165,-23.58095,CEPH
1.48036,0.37333,0.0,4198.72248,0.87672,0.15667,0.23333,0.06759,0.25956,-1.43456,1.02791,0.90293,22.18987,751.66856,CEPH
1.5848,0.36667,0.0,1822.38619,0.84193,0.23667,-0.1,0.08474,-0.05497,-1.1294,1.02747,0.86961,13.06475,86.43476,CEPH
1.63117,0.46,0.0,4621.46928,0.71579,0.30333,-0.03333,0.07468,-0.46176,-0.69644,1.01685,0.84088,50.81754,-67.3172,CEPH
1.51882,0.42667,0.0,9528.73807,0.74955,0.28,-0.03333,0.07842,-0.26982,-1.00842,0.93203,0.86445,140.01879,28.07012,CEPH
1.45598,0.39667,0.0,20021.38694,0.78788,0.55333,-0.03333,0.06968,0.79878,5.55531,1.02755,0.82107,373.21841,-122.28035,CEPH
1.50701,0.42,0.0,5732.92998,0.95576,0.16667,0.3,0.07753,0.13457,-1.36829,0.99584,0.88316,52.59081,-10.40672,CEPH
1.63409,0.46667,0.0,5576.19689,0.70105,0.27333,-0.1,0.09159,-0.59067,-0.87272,1.01776,0.8612,46.21648,34.7598,CEPH
1.57487,0.46,0.0,5878.01181,0.978,0.19667,0.23333,0.11163,-0.06591,-1.37449,1.02428,0.8914,64.83996,-22.13754,CEPH
1.57844,0.46667,0.0,3588.13556,0.71576,0.20667,0.03333,0.04856,-0.57202,-0.88788,0.97117,0.86402,28.30629,30.27532,CEPH
1.59448,0.45333,0.0,3843.55517,0.70201,0.23667,-0.16667,0.05095,-0.6019,-0.95053,1.01542,0.86539,37.9384,-30.28591,CEPH
1.44309,0.43333,0.0,5615.90446,0.97631,0.15333,-0.03333,0.06012,-0.07833,-1.44008,0.98997,0.89387,53.58454,162.52708,CEPH
1.55942,0.47,0.0,4202.62994,0.76888,0.25667,-0.1,0.06217,-0.53517,-0.93413,0.98165,0.84432,34.82888,79.47834,CEPH
1.50321,0.43333,0.0,1992.04297,0.95048,0.16333,0.16667,0.09852,-0.16726,-1.35754,1.01471,0.88875,7.17631,-80.7733,CEPH
1.49448,0.42667,0.0,5536.62278,0.8493,0.2,-0.1,0.08329,0.09869,-1.28267,0.96094,0.8729,21.38836,29.15341,CEPH
1.43546,0.50333,0.0,5229.76791,0.88923,0.17333,0.03333,0.07115,-0.22747,-1.39298,0.98294,0.88897,32.54209,22.7824,CEPH
1.6265,0.48,0.0,8721.01099,0.98305,0.22667,0.1,0.10727,-0.09097,-1.16246,1.01788,0.87385,70.82826,-22.59506,CEPH
1.49889,0.47667,0.0,2559.96803,0.73587,0.17333,0.16667,0.07726,-0.45023,-1.27472,1.03311,0.89649,24.4048,100.20811,CEPH
1.73005,0.38,0.0,6619.50271,0.77458,0.29,0.1,0.07331,-0.35816,-0.87073,0.98079,0.84467,26.35666,57.38647,CEPH
1.6638,0.39333,0.0,3204.83946,0.74439,0.26667,0.23333,0.05745,0.09181,-1.10897,1.00031,0.86527,11.47109,-50.31637,CEPH
1.54255,0.46,0.0,27552.93695,0.91896,0.22333,-0.1,0.05046,-0.23356,-1.26058,1.02501,0.88157,386.34232,-57.76091,CEPH
1.84302,0.36667,0.0,3069.84399,0.70865,0.32667,0.1,0.05576,-0.29405,-0.63657,1.01283,0.81255,29.4046,-34.88321,CEPH
1.55586,0.44333,0.0,3098.6391,0.85071,0.24333,0.03333,0.08434,-0.35623,-1.15793,1.0226,0.86698,27.81835,-40.01315,CEPH
1.48998,0.44667,0.0,7845.79267,0.98104,0.21333,0.16667,0.06807,0.05032,-1.37751,1.00728,0.88329,61.77744,157.69139,CEPH
1.6109,0.37667,0.0,1336.91568,0.8687,0.19,0.03333,0.08623,0.08414,-1.2565,1.00892,0.88686,8.61685,20.31845,CEPH
1.7873,0.39,0.0,10573.80569,0.71674,0.23,0.16667,0.06981,-0.42617,-0.51552,0.9998,0.83269,77.34207,52.5886,CEPH
1.61273,0.43333,0.0,5269.66105,0.72909,0.31,-0.1,0.06753,-0.50757,-0.75866,1.00042,0.84006,32.56584,462.32926,CEPH
1.81344,0.38,0.0,1775.03185,0.74026,0.33,0.16667,0.08718,-0.68612,-0.35722,1.01187,0.83548,6.58393,28.35861,CEPH
1.48149,0.34,0.0,1487.92239,0.80531,0.22667,0.16667,0.0616,0.35437,-1.26302,0.99949,0.87807,7.40686,-75.87543,CEPH
1.50301,0.39667,0.0,3985.78758,0.84584,0.24333,0.03333,0.08395,0.2751,-1.15809,0.98435,0.87671,25.38368,-17.33936,CEPH
1.47115,0.49,0.0,3749.19683,0.94635,0.20667,0.03333,0.09101,-0.00664,-1.29102,0.9922,0.88719,23.18203,-64.01404,CEPH
1.58627,0.44667,0.0,1734.00628,0.68431,0.24667,0.03333,0.05059,-0.53717,-0.97364,0.9788,0.86629,15.32194,81.79521,CEPH
1.53544,0.48333,0.0,6036.94407,0.88258,0.19,-0.1,0.06218,-0.35448,-1.31237,1.05085,0.88987,37.466,-13.46307,CEPH
1.72677,0.44333,0.0,2581.86989,0.66488,0.34667,0.1,0.07973,-0.55562,-0.63187,1.00763,0.84023,29.7411,10.78858,CEPH
1.48335,0.49667,0.0,4695.08317,0.88386,0.17333,-0.1,0.04696,-0.20573,-1.33769,0.99303,0.88466,48.18724,-29.69356,CEPH
1.56412,0.46333,0.0,20666.56511,0.7376,0.26,-0.1,0.07292,-0.49325,-0.89509,0.97789,0.85786,270.67574,39.8184,CEPH
1.4918,0.47333,0.0,3565.39679,0.83391,0.17333,-0.16667,0.07862,-0.3422,-1.23022,0.96219,0.87988,24.86476,39.41552,CEPH
1.5965,0.44333,0.0,4425.17312,0.77119,0.19667,-0.03333,0.04675,-0.42981,-1.11638,1.01001,0.87082,28.98788,-39.87436,CEPH
1.5911,0.41667,0.0,3457.12247,0.75052,0.26667,0.03333,0.05902,-0.52682,-0.83054,0.96244,0.84317,30.71103,16.85881,CEPH
1.50102,0.33667,0.0,8650.7821,0.88052,0.78667,0.1,0.06667,-1.41043,10.38175,1.09276,0.80448,122.89224,-45.26216,CEPH
1.5778,0.45,0.0,1263.99239,0.96055,0.25,0.03333,0.0971,-0.09375,-1.28343,1.0086,0.88323,7.18669,-41.38314,CEPH
1.48495,0.45,0.0,1587.21769,0.9258,0.14333,-0.1,0.06285,0.03019,-1.42046,0.9857,0.89414,27.24368,-31.11035,CEPH
1.41503,0.50667,0.0,3367.31466,0.77889,0.17333,0.03333,0.07321,-0.28675,-1.28453,0.93697,0.88707,47.39457,-10.16929,CEPH
1.865,0.37667,0.0,5619.08586,0.75433,0.4,0.03333,0.10717,-0.27753,-0.33523,1.01408,0.81477,66.06941,-14.50567,CEPH
1.57799,0.38667,0.0,3554.82616,0.91012,0.31667,-0.03333,0.09773,0.00302,-0.9749,1.03449,0.87137,14.93479,-24.15284,CEPH
1.55757,0.48667,0.0,6952.17604,0.80953,0.16667,0.1,0.05367,-0.38602,-1.19476,1.01943,0.87766,42.01244,78.62931,CEPH
1.58182,0.44,0.0,4797.79234,0.80868,0.20333,0.1,0.07714,-0.37405,-1.14941,0.99627,0.88151,28.39345,16.17573,CEPH
1.45985,0.49333,0.0,5241.63301,0.92511,0.18,0.03333,0.08384,-0.13054,-1.39063,0.96763,0.89342,29.47237,-21.52037,CEPH
1.53823,0.44667,0.0,14842.672,0.92392,0.15667,-0.1,0.05522,0.01158,-1.35758,0.9824,0.89356,160.75521,-1066.39903,CEPH
1.55528,0.41667,0.0,10581.13579,0.81065,0.31333,-0.16667,0.0894,-0.17713,-0.78767,0.96897,0.86422,78.81823,27.34281,CEPH
1.46741,0.41,0.0,3581.90668,0.94785,0.2,-0.23333,0.04597,-0.08337,-1.3865,0.98007,0.88586,38.43584,-31.63412,CEPH
1.59276,0.47667,0.0,1871.78314,0.75902,0.25,0.03333,0.06268,-0.49483,-0.98997,1.00856,0.8662,19.81492,80.6432,CEPH
1.78046,0.33667,0.00671,70856.46614,0.83628,0.42,-0.16667,0.09509,-0.31996,0.33441,1.05089,0.83901,3003.48246,24.49402,CEPH
1.54793,0.48667,0.0,30864.69325,0.8742,0.15333,0.1,0.06128,-0.35231,-1.26629,1.02449,0.88138,424.42822,78.23987,CEPH
1.47621,0.47,0.0,3884.27581,0.92618,0.16,-0.03333,0.07874,-0.05877,-1.40318,0.97501,0.88979,54.21619,28.49724,CEPH
1.35399,0.39,0.0,17186.94377,0.84155,0.46333,0.1,0.04732,0.44736,1.09428,0.93467,0.86337,322.91397,-18.30504,CEPH
1.61338,0.43667,0.0,3073.28513,0.68159,0.24333,0.03333,0.06006,-0.50679,-0.8524,0.95575,0.84809,21.07225,17.99031,CEPH
1.68149,0.26,0.0,24333.58546,0.32634,0.66333,-0.1,0.09808,1.26333,0.67943,1.03544,0.83001,330.56592,13.09303,CEPH
1.92961,0.26667,0.0,16103.08874,0.69804,0.60333,-0.16667,0.08619,0.51569,2.47802,0.99839,0.77933,296.26123,56.85019,CEPH
1.58084,0.46,0.0,5275.73439,0.64457,0.27667,-0.1,0.06908,-0.71449,-0.74782,0.98988,0.84356,32.21454,13.05367,CEPH
1.52961,0.42667,0.0,11358.26899,0.83169,0.21333,0.03333,0.05793,-0.27959,-1.1527,0.97381,0.87791,110.12583,37.32677,CEPH
1.56158,0.48,0.0,4212.8871,0.63701,0.26,-0.16667,0.05316,-0.65882,-0.86466,0.99129,0.86296,38.63676,51.075,CEPH
