#Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp stetson_J stetson_J_comp stetson_K stetson_K_comp skew skew_comp kurt kurt_comp std std_comp beyond1_std beyond1_std_comp max_slope max_slope_comp amplitude amplitude_comp med_abs_dev med_abs_dev_comp label
14.8863.660 -0.00511641675384 0.747464425434 1.1782740698 0.724196568335 0.462122197438 0.853030691407 0.240564307329 0.88650468332 -0.231568421053 0.842072299738 0.528376389803 0.849955126661 0.697937153651 0.675859014976 -0.236199582853 0.766792647851 3.9107835995e+15 0.692294940446 0.0352794169423 0.734809605505 0.242105263158 0.694884398308 12.4159337846 0.648902839101 0.259 0.632480980356 0.0185 0.759437533802 2
14.9587.87 -0.0108228485101 0.732603483449 1.52742431876 0.466280301832 2.62994394126 0.605986997944 0.173622012945 0.513754698822 -0.141172727273 0.504530451731 3.17220501033 0.701798445079 0.66158878707 0.696432922624 1.37184495904 0.774693517958 3.03950452639e+13 0.735940111169 0.0785786028811 0.731909144079 0.181818181818 0.551954672041 8.69115364919 1.0 0.571 0.811058043681 0.033 0.775028121485 2
17.2102.357 -0.020128809625 0.54612184412 0.838646601673 0.444713259083 1.72629674299 0.406167775067 0.355699395102 0.323593397649 -0.503228571429 0.349294922771 1.71611772669 0.35106865368 0.802733273761 0.472660149688 0.381308657652 0.348141982806 335048138853.0 0.177436429254 0.112949077003 0.546940949171 0.328571428571 0.476686283387 0.467805089644 1.0 0.481 1.0 0.0775 0.448327788122 2
17.2105.71 -0.00686000116017 0.644734706791 0.414650369087 0.493734348101 3.7578815961 0.64948494128 0.416643677111 0.411023806745 -0.296381818182 0.740890328613 3.68646308756 0.626110336364 0.813459796682 0.62182853411 0.0922026616767 0.60334271567 5.2894420224e+13 0.650707960553 0.0483756679995 0.645837561508 0.381818181818 0.504002777373 0.902323484067 -0.142857142857 0.206 0.497905640412 0.042 0.643478927663 2
17.2108.72 -0.00477606275265 0.593975855007 1.01748249574 0.702780609552 2.00157588852 0.506813674067 0.320607509273 0.755861225651 -0.19331 0.7767202611 2.30447894052 0.334009634199 0.693110069682 0.527090958358 0.632567447744 0.596843663664 3.09367890836e+14 0.735979947336 0.0351108432411 0.594731121209 0.26 0.584594561796 0.0371251459362 1.0 0.21 0.571573022455 0.02 0.443024177566 2
17.2109.108 -0.00878033675808 0.437012055885 0.329476366107 0.674131636859 2.72580688364 0.422633391871 0.421902674619 0.506986712276 -0.36776 0.586387342978 2.81921336081 0.456420186605 0.771560579056 0.65529990296 -0.209245726096 0.499515982205 9.58024385652e+12 0.376830431072 0.0643961312276 0.438638433737 0.45 0.689529035207 0.0330207370228 1.0 0.244 0.588238688827 0.0525 0.426813215242 2
17.2469.222 -0.00930270716833 0.726024225535 1.0691595727 0.569642472811 1.44516064681 0.768113767611 0.309062428458 0.739379295451 -0.383954545455 0.657487631329 1.47138920273 0.773317181332 0.783775084128 0.52701201452 0.233609366568 0.717506515929 3.7077464503e+13 0.509774349583 0.0598894756287 0.728288460232 0.254545454545 0.583867713506 0.139364759649 1.0 0.31 0.706277509025 0.0335 0.711109910883 2
17.3076.164 -0.00748097745108 0.136063734999 1.77198437424 0.249360903164 0.28379172835 0.209253598389 0.139531534386 0.0815550615282 -0.48525 0.0889092043804 0.31903536236 0.200229663028 0.709845446437 0.224590694671 -2.16022676734 0.19700297222 1.81831009825e+13 0.218004898389 0.0516370728072 0.136036119904 0.183333333333 0.0663265306241 0.0790369772233 1.0 0.345 1.0 0.012 0.244897959184 2
18.2483.95 -0.00440148722948 0.583739603299 2.06307363066 0.869066153212 0.500463252463 0.617037358698 0.108870630056 0.508882157142 -0.1812375 0.524613891711 0.565724893012 0.659176390044 0.705943260405 0.524965495835 2.3134913063 0.762246436848 8.80768987114e+15 0.841291857502 0.0318698210732 0.588004352102 0.18125 0.724478610312 1.0937824127 0.244081013368 0.276 0.581466918595 0.0155 0.63179548157 2
18.3445.4646 -0.0145760730451 0.567728624092 0.800728325698 0.832523327486 1.0730037802 0.849702928635 0.337271573225 0.857178659676 -0.397786666667 0.684334575928 1.14259985835 0.848047543902 0.749393595969 0.584247618256 -0.599009533262 0.832790491259 2.37813317113e+13 0.837923097546 0.0884048547565 0.545919348446 0.286666666667 0.895268529443 0.292303920635 0.667099752056 0.463 -0.0909090909091 0.045 0.753998068048 2
