Amplitude;Beyond1Std;Con;MaxSlope;MedianAbsDev;MedianBRP;PairSlopeTrend;Rcs;Skew;SmallKurtosis;Std;StestonK;VariabilityIndex;class;meanvariance
178.76;63.00;;131316.23;41.26;48.96;110.00;78.65;65.93;5.67;6.07;20.47;118.68;RRL;329.56
162.46;120.00;;297187.44;49.88;27.91;110.00;73.96;45.55;163.47;1.18;27.68;48.86;RRL;620.84
133.44;71.88;;827832.74;27.63;64.88;103.33;81.11;174.23;139.27;2.78;18.00;97.23;RRL;493.39
117.69;96.12;;268320.29;41.02;36.43;116.67;110.13;29.82;1073.54;19.06;21.05;84.28;RRL;1448.60
290.19;77.90;;1658774.34;31.70;21.67;83.33;91.23;0.19;146.89;12.09;27.14;106.15;RRL;47991.92
89.92;65.70;;657486.91;44.75;76.09;90.00;70.99;157.19;143.86;6.21;14.90;79.97;RRL;501.95
695.56;278.71;;448061.02;48.20;30.56;103.33;85.70;534.34;4481.60;101.64;93.18;122.77;RRL;1896.70
121.08;70.03;;141347.75;34.66;58.19;123.33;101.90;67.27;202.97;13.65;15.14;136.46;RRL;1123.80
239.99;60.94;;177669.41;19.98;68.41;110.00;85.45;56.36;41.63;17.34;17.17;121.76;RRL;2063.47
364.73;63.50;;169803.58;45.21;18.78;123.33;93.41;236.53;742.56;15.53;32.92;97.06;RRL;1686.04
359.81;82.00;;539975.26;58.81;20.40;83.33;97.41;207.09;440.03;29.20;38.38;86.45;RRL;848.98
574.71;94.69;;160228.43;34.79;13.00;90.00;106.46;332.94;1876.05;35.20;40.08;117.93;RRL;23286.76
392.43;79.31;;144921.70;36.75;18.53;110.00;121.73;292.03;984.27;24.18;33.61;83.75;RRL;2795.56
275.08;91.64;;526934.13;44.43;17.95;116.67;122.57;177.65;680.92;8.20;36.17;100.66;RRL;1368.30
217.76;80.42;;360307.01;48.39;30.69;103.33;123.44;342.83;72.06;7.25;22.45;95.18;RRL;6903.19
193.43;62.00;;933272.93;34.56;56.43;103.33;87.67;77.52;44.35;2.04;20.00;81.89;RRL;1126.74
260.54;138.33;;150184.93;51.57;22.30;90.00;81.37;145.45;828.47;20.57;43.10;75.29;RRL;607.35
413.08;254.50;;771389.28;44.04;20.33;110.00;94.86;373.65;2191.01;63.80;80.84;97.02;RRL;1727.92
248.78;93.11;;494629.38;41.33;24.30;110.00;106.38;37.32;432.72;2.74;29.96;65.98;RRL;1440.88
